"WMO306CD_efrs","QualityFlagSysURL_efrs","Path_e","Name_e","Definition_e"
"52","","\Atmosphere\Lightning\Remote-sensing, passive","Remote-sensing, passive",NA
"53","","\Atmosphere\Ozone\Remote-sensing, passive","Remote-sensing, passive",NA
"54","","\Atmosphere\Radiation\Remote-sensing, passive","Remote-sensing, passive",NA
"55","","\Atmosphere\Temperature\Remote-sensing, passive","Remote-sensing, passive",NA
"56","","\Atmosphere\Trace gas\Remote-sensing, passive","Remote-sensing, passive",NA
"57","","\Atmosphere\Wind\Remote-sensing, passive","Remote-sensing, passive",NA
"187","","\Terrestrial\Soil moisture\In situ\Resistance block tensiometer","Resistance block tensiometer",NA
"188","","\Atmosphere\Temperature\In situ\Resistance thermometer, thermistor","Resistance thermometer, thermistor",NA
"59","","\Atmosphere\Precipitation\In situ\(Ruler for) rain gauge","(Ruler for) rain gauge",NA
"189","","\Atmosphere\Ozone\Remote-sensing, passive\SAOZ (UV-vis diode array spectrometer)","SAOZ (UV-vis diode array spectrometer)",NA
"241","","\Atmosphere\Aerosol\In situ\Physical properties\Scanning mobility particle sizer (SMPS)","Scanning mobility particle sizer (SMPS)",NA
"190","","\Atmosphere\Visual range\Remote-sensing, active\Scatterometer","Scatterometer",NA
"191","","\Atmosphere\Trace gas\In situ\Separation + manometric determination","Separation + manometric determination",NA
"192","","\Atmosphere\Radiation\In situ\Shortwave","Shortwave",NA
"193","","\Atmosphere\Precipitation\In situ\Snow","Snow",NA
"262","","\Atmosphere\Precipitation\In situ\Snow\Snow pillow","Snow pillow",NA
"16","","\Terrestrial\Soil heat flux","Soil heat flux",NA
"17","","\Terrestrial\Soil moisture","Soil moisture",NA
"18","","\Terrestrial\Soil temperature","Soil temperature",NA
"194","","\Terrestrial\Soil temperature\In situ\Soil thermometer","Soil thermometer",NA
"195","","\Atmosphere\Temperature\In situ\Sonic thermometer","Sonic thermometer",NA
"196","","\Atmosphere\Wind\Remote-sensing, active\Sound detection and ranging (Sodar) profiler","Sound detection and ranging (Sodar) profiler",NA
"267","","\Atmosphere\Radiation\In situ\Shortwave\Spectral pyranometer","Spectral pyranometer",NA
"197","","\Atmosphere\Radiation\In situ\Sunphotometry/Filter Radiometry","Sunphotometry/Filter Radiometry",NA
"198","","\Atmosphere\Radiation\In situ\Sunshine duration","Sunshine duration",NA
"244","","\Atmosphere\Aerosol\Remote-sensing, passive\Optical properties\Sun-tracking photometry","Sun-tracking photometry",NA
"199","","\Atmosphere\Micrometeorology\In situ\Surface chamber","Surface chamber",NA
"323","","\Atmosphere\Trace gas\Remote-sensing, passive\Optical spectrometry\TCCON Fourier-transform IR spectroscopy (TCCON-FTIR)","TCCON Fourier-transform IR spectroscopy (TCCON-FTIR)",NA
"19","","\Atmosphere\Temperature","Temperature",NA
"200","","\Terrestrial\Soil moisture\In situ\Tensiometer","Tensiometer",NA
"3","","\Terrestrial","Terrestrial",NA
"270","","\Atmosphere\Total atmospheric deposition\In situ\Chemiluminescence\Tetrachloromercurate (TCM) absorption - CL","Tetrachloromercurate (TCM) absorption - CL",NA
"201","","\Atmosphere\Temperature\In situ\Thermocouple, thermophile","Thermocouple, thermophile",NA
"202","","\Atmosphere\Temperature\In situ\Thermometer/-element","Thermometer/-element",NA
"225","","\Atmosphere\Aerosol\In situ\Composition\Thermo-optical analyzer (Sunset Labs)","Thermo-optical analyzer (Sunset Labs)",NA
"250","","\Atmosphere\Humidity\In situ\Capacitive method\Thin film capacitance","Thin film capacitance",NA
"203","","\Terrestrial\Soil moisture\In situ\Time domain reflectometry (TDR)","Time domain reflectometry (TDR)",NA
"204","","\Atmosphere\Precipitation\In situ\Tipping bucket rain gauge (totalizer)","Tipping bucket rain gauge (totalizer)",NA
"205","","\Atmosphere\Trace gas\In situ\Titration","Titration",NA
"20","","\Atmosphere\Total atmospheric deposition","Total atmospheric deposition",NA
"21","","\Atmosphere\Trace gas","Trace gas",NA
"206","","\Atmosphere\Dynamics\Numerical model\Trajectories","Trajectories",NA
"207","","\Atmosphere\Visual range\Remote-sensing, active\Transmissometer","Transmissometer",NA
"208","","\Atmosphere\Dynamics\Numerical model\Transport modeling (model unspecified)","Transport modeling (model unspecified)",NA
"338","","\Atmosphere\Humidity\In situ\Laser-based\Tunable diode lase spectroscopy (TDLS)","Tunable diode lase spectroscopy (TDLS)","Tunable diode lase spectroscopy (TDLS)"
"209","","\Atmosphere\Total atmospheric deposition\In situ\Turbidity measurement","Turbidity measurement",NA
"242","","\Atmosphere\Aerosol\In situ\Physical properties\Twomey static thermal diffusion chamber","Twomey static thermal diffusion chamber",NA
"60","","\Atmosphere\Wind\In situ\(Ultra)sonic anemometer","(Ultra)sonic anemometer",NA
"260","","\Atmosphere\Precipitation\In situ\Snow\(Ultra)sonic ranger","(Ultra)sonic ranger",NA
"210","","\Atmosphere\Ozone\Remote-sensing, passive\Umkehr method","Umkehr method",NA
"1","","\(unknown / unspecified)","(unknown / unspecified)",NA
"257","","\Atmosphere\Humidity\In situ\Hygrometer\UV absorption hygrometer (Lyman-,"UV absorption hygrometer (Lyman-,NA
"319","","\Atmosphere\Trace gas\In situ\Optical spectrometry\UV absorption spectrometry/radiometry","UV absorption spectrometry/radiometry",NA
"295","","\Atmosphere\Trace gas\In situ\Fluorescence\UV fluorescence","UV fluorescence",NA
"339","","\Atmosphere\Ozone\Remote-sensing, passive\UV spectroradiometry","UV spectroradiometry",NA
"268","","\Atmosphere\Radiation\In situ\Shortwave\UV/vis spectrometry/radiometry","UV/vis spectrometry/radiometry",NA
"296","","\Atmosphere\Trace gas\In situ\Fluorescence\Vacuum UV fluorescence","Vacuum UV fluorescence",NA
"22","","\Atmosphere\Visual range","Visual range",NA
"211","","\Atmosphere\Precipitation\In situ\Volumetric measurement","Volumetric measurement",NA
"212","","\Atmosphere\Precipitation\In situ\Weighing type rain gauge (totalizer)","Weighing type rain gauge (totalizer)",NA
"340","","\Atmosphere\Humidity\In situ\Psychrometer\Wet-bulb thermometer","Wet-bulb thermometer","A thermometer having a bulb that is kept moistened when humidity determinations are being made with a psychrometer. The wet-bulb temperature is the temperature a parcel of air would have if it were cooled to saturation (100% relative humidity) by the evaporation of water into it, with the latent heat being supplied by the parcel."
"213","","\Atmosphere\Total atmospheric deposition\In situ\Wet Chemical Methods [general]","Wet Chemical Methods [general]",NA
"23","","\Atmosphere\Wind","Wind",NA
"214","","\Atmosphere\Wind\In situ\Wind sock (textile tube)","Wind sock (textile tube)",NA
"215","","\Atmosphere\Wind\In situ\Wind vane (solid blade)","Wind vane (solid blade)",NA
"226","","\Atmosphere\Aerosol\In situ\Composition\X-ray fluorescence (XRF)","X-ray fluorescence (XRF)",NA
